Date,AveragePrice,TotalVolume,PLU4046,PLU4225,PLU4770,TotalBags,SmallBags,LargeBags,XLargeBags,Type,Year,Region
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
2015-12-20,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2015-12-13,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
2015-12-06,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
2015-11-29,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
2015-11-22,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
2015-11-15,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany
2015-11-08,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany
2015-11-01,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany
2015-10-25,1.07,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany
2015-10-18,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany
2018-03-25,1.33,57606.42,2002.4,5548.18,82.68,49973.16,49957.61,15.55,0,organic,2018,BaltimoreWashington
2018-03-18,1.41,45505,2132.2,6130.5,76.41,37165.89,37157.4,8.49,0,organic,2018,BaltimoreWashington
2018-03-11,1.44,48044.77,1885.84,6874.81,96.69,39187.43,39177.43,10,0,organic,2018,BaltimoreWashington
2018-03-04,1.43,43300.77,2360.2,6371.68,93.52,34475.37,34475.37,0,0,organic,2018,BaltimoreWashington
2018-02-25,1.47,47421.15,1626.3,7913.27,49.45,37832.13,37822.13,10,0,organic,2018,BaltimoreWashington
2018-02-18,1.52,51564.7,2125.96,12402.09,79.77,36956.88,36927.99,28.89,0,organic,2018,BaltimoreWashington
2018-02-11,1.53,46355.69,1457.17,9060.57,68.22,35769.73,35769.73,0,0,organic,2018,BaltimoreWashington
2018-02-04,1.59,41615.66,1201.51,7408.22,85.69,32920.24,32904.68,15.56,0,organic,2018,BaltimoreWashington
2018-01-28,1.55,44059.08,1236.06,8807.18,147.27,33868.57,33859.68,8.89,0,organic,2018,BaltimoreWashington
2018-01-21,1.66,38098.21,1450.87,9262.48,65.08,27319.78,27315.34,4.44,0,organic,2018,BaltimoreWashington
2018-01-14,1.39,66149.27,1264.25,10025.87,105.72,54753.43,54746.77,6.66,0,organic,2018,BaltimoreWashington
2018-01-07,1.15,82282.71,1315.95,9962.1,134.19,70870.47,70863.8,6.67,0,organic,2018,BaltimoreWashington
2017-12-31,0.95,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39,conventional,2017,Atlanta
2017-12-24,1.11,444781.87,212413.82,30834.68,1112.56,200420.81,130079.34,66147.03,4194.44,conventional,2017,Atlanta
2017-12-17,1,484326.63,231133.4,33481.83,915.94,218795.46,153468.13,62336.11,2991.22,conventional,2017,Atlanta
2017-12-10,0.99,543619.28,274345.62,38433.88,1302.16,229537.62,158483.4,67567.68,3486.54,conventional,2017,Atlanta
2017-12-03,1.07,504933,263807,32457,1390,207280,137581,66640,3058,conventional,2017,Atlanta
2017-11-26,1.12,412213,211077,27773,903,172460,113141,55576,3743,conventional,2017,Atlanta
2017-11-20,1.13,453755,239860,31169,1109,181617,118386,61447,1784,conventional,2017,Atlanta
2017-11-12,1.11,518209,251896,31719,1398,233196,154898,75134,3164,conventional,2017,Atlanta
2017-11-05,1.08,567572.7,275749.63,32494.72,1124.72,258203.63,189677.82,66802.08,1723.73,conventional,2017,Atlanta
2017-10-29,1.28,493921.1,256988.66,36334.71,1083.81,199513.92,131656.43,66215.82,1641.67,conventional,2017,Atlanta
2017-10-22,1.49,406008.95,219172.21,35958.88,894.35,149983.51,95710.09,54265.29,8.13,conventional,2017,Atlanta
2017-10-15,1.64,406111.3,197442.9,34760.61,148.61,173759.18,110652.91,63067,39.27,conventional,2017,Atlanta
2017-10-08,1.6,411520.44,213442.97,32020.48,51.1,166005.89,100702.03,65197.74,106.12,conventional,2017,Atlanta
2017-10-01,1.55,421235.13,222683.91,45065.96,366.89,153118.37,101913.35,51196.55,8.47,conventional,2017,Atlanta
2017-09-24,1.5,403780.43,222498.3,45024.88,34.48,136222.77,88241.47,47954.41,26.89,conventional,2017,Atlanta
2017-09-17,1.59,392935.2,204374.88,47135.66,92.68,141331.98,90750.39,50425.52,156.07,conventional,2017,Atlanta
2017-09-10,1.54,466988.83,241057.35,47619.22,111.21,178201.05,116857.39,58868.48,2475.18,conventional,2017,Atlanta
2017-09-03,1.53,433455.08,235645.56,47493.42,121.59,150194.51,92866.15,54225.03,3103.33,conventional,2017,Atlanta
2017-08-27,1.49,458036.12,230031.71,48132.94,99.72,179771.75,116586.74,56679.85,6505.16,conventional,2017,Atlanta
2017-08-20,1.43,475921.53,230252.9,49199.54,27.54,196441.55,132374.71,62509.83,1557.01,conventional,2017,Atlanta
2017-08-13,1.37,534058.7,251178.4,62180.62,64.99,220634.69,148972.21,66092.48,5570,conventional,2017,Atlanta
